,"MarketFighter (recovered, LSE)",FTSE All-World,S&P 500,MSCI World,vs All-World
2015,0.7161316753525604,0.030094482629983155,0.42417213399505993,0.10096485903730024,0.6860371927225772
2016,14.056786695428558,4.141044634077429,6.404806311042899,5.284183197169678,9.915742061351128
2017,18.736876146132285,13.215221779362786,10.685424808423694,12.224312791418136,5.5216543667695
2018,4.149846259951628,-4.699075176186196,-0.10104832701418598,-3.6542070257890247,8.848921436137825
2019,28.197349115578163,22.031762920956677,26.522782766198905,23.061322965441654,6.165586194621486
2020,24.293025867441663,12.133779695574054,13.654974903870887,11.648591434499433,12.15924617186761
2021,32.808836842645015,20.037306219552107,30.98256243516233,23.384768225680453,12.771530623092907
2022,9.093248417078016,-8.440744090935448,-9.023546427913153,-8.31931792282833,17.533992508013462
2023,18.39804670534102,15.614671167706206,19.813176134285683,17.652608217017686,2.7833755376348144
2024,33.53629763342818,19.59677197211347,27.3286272127351,20.86426867321256,13.939525661314708
2025,16.80795457767612,13.992938817137436,9.393160937771473,12.777478062369196,2.815015760538685
2026,26.354767303299,12.320670152943425,10.660740968771943,10.730268285096667,14.034097150355574
