,"MarketFighter (recovered, LSE)",FTSE All-World,S&P 500,MSCI World
2015-12,0.7161316753525604,0.030094482629983155,0.42417213399505993,0.10096485903730024
2016-09,3.04475817415224,1.7342382780652699,0.9797154080399162,1.7539109583844414
2016-11,6.2126279286095265,-1.413877417351217,1.5676851621304166,-0.7436896243893432
2016-12,4.212322162138715,3.8338616475726894,3.7460447723860035,4.244678530095736
2017-01,-0.3004569369923882,-0.035092715447127,-1.3505504778211663,-0.12340954057763476
2017-02,5.176706153063737,4.425341953976147,5.709290295921776,3.7851007229177336
2017-03,0.47266315536016457,0.6512200494069864,-0.5871752384064788,0.7993773136533822
2017-04,-0.656271381554685,-1.8543497358809224,-2.4506195009973752,-1.9043737657361337
2017-05,4.710830157201862,2.23135212449479,1.4273768830614042,2.642150393019249
2017-06,-3.0701712079098775,-0.19529433856825262,0.08055364983909907,-1.1088249705842546
2017-07,0.253545337943728,1.4094132206606824,0.6212874778318112,1.4925065806772553
2017-08,3.5983760770094575,2.579874896912293,2.3856651343969304,1.5944114141917876
2017-09,-1.639847046198839,-2.092142085983817,-1.9835040615554744,-1.3930027999053074
2017-10,8.406664689762033,3.262873432958724,3.537366784356144,3.707788009562085
2017-11,0.1260442673149509,0.1208884040388547,1.0303097249593662,0.335855518468553
2017-12,0.8000023590387872,2.18784498352691,2.07838525648123,1.9573179393347795
2018-01,1.6683831516854042,-0.1106856061100836,-0.23755893968443464,-0.6948225682214981
2018-02,2.306756732148374,-0.6175018833607049,0.07937487534037668,-1.7046032980240766
2018-03,-6.744047747710457,-4.5333735123421315,-5.466989069175798,-3.796838614727094
2018-04,4.600643678207894,3.610306090814186,3.6787513929047666,3.7640814173522275
2018-05,6.757967529069453,3.0722072764091113,5.362933897571032,3.879612434423585
2018-06,0.7806328515090222,0.4533919261184627,1.649082979815053,1.8549645328789444
2018-07,1.1383482349006435,3.278937856375874,3.5542308934081834,2.2732052628448907
2018-08,6.560174530162843,1.3481517268240983,4.167679760659526,1.9451424353108093
2018-09,-0.11798528150706034,0.3517404964936244,0.28508926061288076,0.41205824883239206
2018-10,-6.324033499698112,-5.539228985817535,-4.75961934752458,-4.768224703567148
2018-11,2.602893935665529,0.9480990647513732,0.8658548937327204,-0.08415682039083494
2018-12,-7.786557322581356,-6.415198792287791,-8.27616373691592,-6.190189131943347
2019-01,3.3909320553361155,4.498845714849931,4.812632553187357,3.9729259902163694
2019-02,1.7085908679123518,1.5323603998274926,2.3935183458519305,1.7257730125771253
2019-03,3.197426999654507,3.2207375621317924,3.5118580661841925,3.061145760980466
2019-04,3.8249625145295063,3.0781173866057054,3.725953153053463,4.501140510937152
2019-05,0.12196623000919615,-2.1793139550974283,-2.2864648243760666,-2.859172409999755
2019-06,6.121171054503982,5.253048379921443,5.345821989291344,5.524524640836015
2019-07,4.992799341015508,5.084506143982193,6.97029245394174,5.63009907732912
2019-08,-3.187126917502603,-3.061778904946033,-2.776233372963488,-3.0658424148225505
2019-09,1.1206719701708945,1.7388002649714185,1.3188818212099829,1.466484317631278
2019-10,-2.457667937654051,-2.6831864192908284,-3.1997996153569463,-2.655833224042903
2019-11,5.155554679438223,2.9336209542001113,4.067341635649169,3.170706800416867
2019-12,1.5731631356518339,1.1329346876968849,0.4884918747700695,1.0056426942611107
2020-01,2.8420584959571116,-0.9637139669991246,0.5664119862066608,-0.0071516701182883224
2020-02,-8.229762131995654,-6.160551060583597,-6.852267369432353,-8.133131827432582
2020-03,-2.393432670983242,-8.971295184603633,-6.805595486030347,-7.315188253574744
2020-04,9.379481900482212,7.766148817775798,9.049725065713577,8.310309609258116
2020-05,6.1166314206925865,5.838681364214149,5.79650671880807,5.483432383445996
2020-06,4.419980247350108,3.3618338593157437,1.9363969952958637,2.9900809873661727
2020-07,-0.5920065903677552,-1.0763595044619656,-0.6839914702629013,-1.689723403270682
2020-08,8.641526513490728,5.070365608866045,6.246309335787714,5.093031158023842
2020-09,0.38064255406022873,0.33039683501243644,-0.043882923262084095,0.7147885005363674
2020-10,-5.28272097837672,-3.0357404734007165,-3.4498676419923324,-3.931703307755774
2020-11,5.145530278590504,8.443856718750675,7.0416652930317625,9.044908193718948
2020-12,3.1110031421818007,2.5325622321724417,1.5546864240967517,2.238816175377867
2021-01,1.6637495350285691,-0.32805564485426375,-0.38829584463263567,-1.1761557073878492
2021-02,1.2156961054699655,0.5098513709670627,1.283243083449448,0.7246543340219569
2021-03,7.176637608697156,3.9162699794883737,5.053617271534949,4.952704159012655
2021-04,2.2512883656071514,3.8180455815043812,4.880593185706039,3.00923802205626
2021-05,0.4437955210778721,-0.859726739288269,-1.8065324328118026,0.08052403142824183
2021-06,5.2748999951165665,3.703171365590996,4.79702502219832,3.538902083335116
2021-07,-5.8029909894825815,0.1983997369919166,1.8242107912198602,1.0678416521016532
2021-08,1.8912926027432109,3.401307638674478,4.21630077761963,4.064915081580378
2021-09,4.151406521283785,-1.703975021824844,-1.9372297258287596,-1.3460842929553851
2021-10,4.892273991397644,2.703325423747205,4.11368441256601,2.130666253639868
2021-11,4.131192216966095,1.265693405630608,3.3934315848678454,1.7171700442112803
2021-12,2.0075808806940376,1.992095088799628,2.22007307126868,2.650010755794452
2022-01,-7.6995544197569155,-4.8769935909732105,-5.9805015319385095,-5.353235321184524
2022-02,1.8605416584866363,-1.853963211617149,-1.731946437263987,-1.3617217102343537
2022-03,8.014106783434816,4.862941438431134,7.149815498538281,5.36681526974776
2022-04,1.8888533847991162,-2.88838030224563,-3.6058236314717496,-2.504507444691617
2022-05,9.500549625488986,-1.9522299193822423,-2.7105432293933807,-3.2163742970590214
2022-06,-12.580428333054138,-4.86496215475356,-4.615603092014863,-4.779010935846562
2022-07,5.362223604059313,6.194890727913349,8.11781966361429,7.0550180679284535
2022-08,4.954705362485057,1.607443517356133,1.8334936423830328,0.9696499871743258
2022-09,-4.391673409655983,-4.373401177223002,-3.8098716684455525,-3.9318598218134437
2022-10,8.91241656236339,1.2454757083015577,2.6129722179228265,1.5012704485214412
2022-11,-1.7764843486388182,1.8213401733783385,-1.556806505688646,1.6899547767545542
2022-12,-2.6175848893436493,-2.93778908679887,-3.969986388531266,-3.2219611730651687
2023-01,-1.1160191257483465,4.360468591530653,3.4087661163078042,3.994004439091592
2023-02,2.7164834389825865,-0.6624765094734864,0.21680664671388516,0.6746733705928376
2023-03,-3.302246243192608,0.4744560320711244,0.5337566265481763,-0.12720846646654405
2023-04,2.310023325662458,-0.10525247281690797,0.08402775839722043,0.9962693478773765
2023-05,2.5164254263645214,0.19901132844581948,2.0625918143679423,-0.4035052968238029
2023-06,4.734641206632428,3.4884130762903975,3.983941419710635,4.612818698668875
2023-07,1.559499994093061,2.3858261773896716,2.161534361593631,1.4574938644593693
2023-08,0.5366652793712179,-1.0042156477927167,0.2811176684239136,-1.1451624628262769
2023-09,-1.7881972287118852,-0.34403304939443213,-0.9072737288048804,-0.04093744908536534
2023-10,-1.7095810695279878,-2.936862236296589,-2.6101704384798086,-3.2141290243884124
2023-11,6.1529313924688855,4.608403188221177,4.735288121757897,4.6186834541863675
2023-12,4.883745715119314,4.479087596579889,4.554354273838923,5.333400597761373
2024-01,3.63813489389746,1.1005349392954278,2.3479425580340774,1.7036712867170012
2024-02,7.374691334238248,3.9843710571978663,4.674013038510649,3.6048559709097816
2024-03,3.8014927993768044,3.476733829945089,3.511074396840197,3.9324662436478697
2024-04,-3.4200185912691916,-1.8226639173908321,-2.230344435249698,-2.5348749918678304
2024-05,3.465723493577455,0.9232075846931531,0.9716301970353891,1.349186064022967
2024-06,10.010250971635193,4.294979174416946,6.48027217627718,4.425793333297823
2024-07,-4.738619558316115,-0.35010377354507405,-0.9969061598086304,-0.2731348277222656
2024-08,-1.2848735283013335,-0.4860536306864005,-0.9335021460488147,-0.7260397231489635
2024-09,1.5398839157910071,0.5039908557998851,0.46428069126984717,0.48261608971587044
2024-10,3.5909815935390332,2.3374801338698514,4.190683401101136,1.8178846833313944
2024-11,6.654402031694917,4.955167026029739,6.792357288670758,6.570304977920083
2024-12,-0.3173741035435329,-0.6181946313683295,-0.369495926468022,-0.8816795812649159
2025-01,5.898510687689451,4.4887318225283135,3.9577133284871113,4.8958293054705
2025-02,-7.997277916015843,-3.492329146584283,-4.799716105500263,-3.8170096515449226
2025-03,-6.093110280835101,-6.031261468537885,-7.9885824491575885,-6.882726082128499
2025-04,1.0930599763982807,-2.3356457346445647,-3.760127247386802,-2.7602171788489893
2025-05,7.294932431891299,5.329210498082837,5.972282893167202,5.800023983293445
2025-06,1.3588839562825417,2.6985059660880717,3.3476963902244306,2.7855737929261437
2025-07,6.880304406016391,5.610473417962747,6.952883852936131,5.613242763585546
2025-08,0.036970753865039896,-0.1299950269009198,-0.9290923858394584,-0.012842736638174479
2025-09,1.5440792685208926,3.7557143595453812,3.6603233776193234,3.3767392740094326
2025-10,7.979001991927959,4.9392082468405984,5.339947995095651,4.69492834195786
2025-11,-1.6158482523852769,-0.7671394436909007,-0.7722859990919817,-0.4040548845014702
2025-12,0.6803658662363876,-0.07668267659813877,-0.7277029203735075,-0.27110911476611044
