,factor,sector,cash
2010-03,USA_SMALL,CONS_DISC,False
2010-04,EUR_SMALL,INDUST,False
2010-05,USA_SMALL,CONS_DISC,False
2010-06,USA_SMALL,CONS_DISC,False
2010-07,EUR_MOM,CONS_DISC,False
2010-08,EUR_SMALL,CONS_DISC,False
2010-09,EUR_SMALL,CONS_DISC,False
2010-10,EUR_MOM,CONS_DISC,False
2010-11,EUR_MOM,CONS_DISC,False
2010-12,EUR_MOM,CONS_DISC,False
2011-01,EUR_MOM,MATERIALS,False
2011-02,EUR_SMALL,ENERGY,False
2011-03,USA_SMALL,ENERGY,False
2011-04,USA_SMALL,ENERGY,False
2011-05,USA_SMALL,ENERGY,False
2011-06,USA_SMALL,ENERGY,False
2011-07,USA_SMALL,ENERGY,False
2011-08,USA_QUAL,ENERGY,False
2011-09,USA_QUAL,HEALTH,False
2011-10,USA_QUAL,CONS_STAP,False
2011-11,USA_QUAL,CONS_STAP,False
2011-12,USA_QUAL,CONS_STAP,False
2012-01,EUR_QUAL,CONS_STAP,False
2012-02,USA_QUAL,INFOTECH,False
2012-03,USA_QUAL,INFOTECH,False
2012-04,USA_QUAL,INFOTECH,False
2012-05,USA_MOM,INFOTECH,False
2012-06,USA_SMALL,CONS_DISC,False
2012-07,USA_MOM,HEALTH,False
2012-08,EUR_MOM,HEALTH,False
2012-09,EUR_SMALL,INFOTECH,False
2012-10,USA_MOM,CONS_DISC,False
2012-11,EUR_MOM,HEALTH,False
2012-12,EUR_MOM,HEALTH,False
2013-01,EUR_MOM,HEALTH,False
2013-02,EUR_VAL,ENERGY,False
2013-03,EUR_SMALL,CONS_DISC,False
2013-04,USA_VAL,CONS_DISC,False
2013-05,USA_VAL,HEALTH,False
2013-06,USA_VAL,CONS_DISC,False
2013-07,USA_VAL,CONS_DISC,False
2013-08,USA_VAL,HEALTH,False
2013-09,USA_VAL,HEALTH,False
2013-10,USA_VAL,CONS_DISC,False
2013-11,USA_VAL,CONS_DISC,False
2013-12,USA_VAL,CONS_DISC,False
2014-01,USA_SMALL,INDUST,False
2014-02,EUR_SMALL,HEALTH,False
2014-03,EUR_SMALL,HEALTH,False
2014-04,EUR_SMALL,INFOTECH,False
2014-05,EUR_SMALL,INDUST,False
2014-06,USA_VAL,INFOTECH,False
2014-07,USA_VAL,INFOTECH,False
2014-08,USA_VAL,INFOTECH,False
2014-09,USA_VAL,HEALTH,False
2014-10,USA_VAL,INFOTECH,False
2014-11,USA_VAL,HEALTH,False
2014-12,USA_MOM,HEALTH,False
2015-01,USA_MOM,HEALTH,False
2015-02,EUR_QUAL,HEALTH,False
2015-03,EUR_QUAL,HEALTH,False
2015-04,EUR_MOM,HEALTH,False
2015-05,EUR_SMALL,HEALTH,False
2015-06,EUR_SMALL,HEALTH,False
2015-07,EUR_SMALL,CONS_DISC,False
2015-08,EUR_SMALL,CONS_DISC,False
2015-09,EUR_SMALL,CONS_DISC,False
2015-10,EUR_SMALL,CONS_DISC,False
2015-11,EUR_SMALL,CONS_DISC,False
2015-12,EUR_SMALL,CONS_DISC,False
2016-01,USA_MOM,CONS_STAP,False
2016-02,USA_MOM,CONS_STAP,False
2016-03,USA_QUAL,CONS_STAP,False
2016-04,USA_QUAL,CONS_STAP,False
2016-05,USA_QUAL,INDUST,False
2016-06,USA_MOM,MATERIALS,False
2016-07,USA_MOM,CONS_STAP,False
2016-08,USA_MOM,CONS_STAP,False
2016-09,USA_SMALL,ENERGY,False
2016-10,USA_SMALL,MATERIALS,False
2016-11,USA_SMALL,ENERGY,False
2016-12,USA_SMALL,ENERGY,False
2017-01,USA_SMALL,INFOTECH,False
2017-02,USA_SMALL,INFOTECH,False
2017-03,USA_VAL,INFOTECH,False
2017-04,EUR_VAL,INFOTECH,False
2017-05,EUR_VAL,INFOTECH,False
2017-06,EUR_VAL,INFOTECH,False
2017-07,USA_MOM,INDUST,False
2017-08,USA_MOM,INFOTECH,False
2017-09,USA_MOM,INFOTECH,False
2017-10,USA_MOM,INFOTECH,False
2017-11,USA_MOM,INFOTECH,False
2017-12,USA_MOM,INFOTECH,False
2018-01,USA_MOM,INFOTECH,False
2018-02,USA_MOM,INFOTECH,False
2018-03,USA_MOM,INFOTECH,False
2018-04,USA_MOM,INFOTECH,False
2018-05,USA_MOM,ENERGY,False
2018-06,USA_MOM,INFOTECH,False
2018-07,USA_MOM,CONS_DISC,False
2018-08,USA_MOM,CONS_DISC,False
2018-09,USA_MOM,INFOTECH,False
2018-10,USA_SMALL,INFOTECH,False
2018-11,USA_QUAL,HEALTH,False
2018-12,USA_QUAL,HEALTH,False
2019-01,USA_QUAL,HEALTH,False
2019-02,USA_QUAL,HEALTH,False
2019-03,USA_QUAL,HEALTH,False
2019-04,USA_QUAL,CONS_STAP,False
2019-05,EUR_QUAL,CONS_STAP,False
2019-06,EUR_QUAL,CONS_STAP,False
2019-07,EUR_QUAL,CONS_DISC,False
2019-08,EUR_QUAL,INFOTECH,False
2019-09,USA_QUAL,INFOTECH,False
2019-10,EUR_QUAL,INFOTECH,False
2019-11,USA_QUAL,INFOTECH,False
2019-12,USA_QUAL,INFOTECH,False
2020-01,USA_QUAL,INFOTECH,False
2020-02,USA_QUAL,INFOTECH,False
2020-03,USA_QUAL,INFOTECH,False
2020-04,USA_QUAL,INFOTECH,False
2020-05,USA_QUAL,INFOTECH,False
2020-06,USA_QUAL,INFOTECH,False
2020-07,USA_MOM,INFOTECH,False
2020-08,USA_MOM,INFOTECH,False
2020-09,USA_MOM,INFOTECH,False
2020-10,USA_MOM,INFOTECH,False
2020-11,USA_MOM,CONS_DISC,False
2020-12,USA_SMALL,CONS_DISC,False
2021-01,USA_SMALL,INFOTECH,False
2021-02,USA_SMALL,INFOTECH,False
2021-03,USA_SMALL,INDUST,False
2021-04,USA_SMALL,INDUST,False
2021-05,USA_SMALL,ENERGY,False
2021-06,USA_SMALL,ENERGY,False
2021-07,USA_SMALL,ENERGY,False
2021-08,EUR_SMALL,ENERGY,False
2021-09,EUR_SMALL,ENERGY,False
2021-10,USA_QUAL,ENERGY,False
2021-11,EUR_QUAL,INFOTECH,False
2021-12,USA_QUAL,INFOTECH,False
2022-01,USA_QUAL,INFOTECH,False
2022-02,EUR_VAL,ENERGY,False
2022-03,EUR_VAL,ENERGY,False
2022-04,EUR_VAL,ENERGY,False
2022-05,EUR_VAL,ENERGY,False
2022-06,EUR_VAL,ENERGY,False
2022-07,EUR_VAL,ENERGY,False
2022-08,EUR_VAL,ENERGY,False
2022-09,EUR_VAL,ENERGY,False
2022-10,EUR_QUAL,ENERGY,False
2022-11,USA_MOM,ENERGY,False
2022-12,EUR_VAL,ENERGY,False
2023-01,USA_MOM,ENERGY,False
2023-02,USA_SMALL,INDUST,False
2023-03,EUR_VAL,ENERGY,False
2023-04,EUR_VAL,ENERGY,False
2023-05,EUR_QUAL,INFOTECH,False
2023-06,USA_QUAL,INFOTECH,False
2023-07,USA_QUAL,INFOTECH,False
2023-08,USA_QUAL,INFOTECH,False
2023-09,USA_QUAL,INFOTECH,False
2023-10,USA_QUAL,INFOTECH,False
2023-11,USA_QUAL,INFOTECH,False
2023-12,USA_QUAL,INFOTECH,False
2024-01,USA_QUAL,INFOTECH,False
2024-02,USA_MOM,INFOTECH,False
2024-03,USA_MOM,INFOTECH,False
2024-04,USA_MOM,INFOTECH,False
2024-05,USA_MOM,INFOTECH,False
2024-06,USA_MOM,INFOTECH,False
2024-07,USA_MOM,INFOTECH,False
2024-08,USA_MOM,INFOTECH,False
2024-09,USA_MOM,INFOTECH,False
2024-10,USA_MOM,INFOTECH,False
2024-11,USA_MOM,INFOTECH,False
2024-12,USA_SMALL,CONS_DISC,False
2025-01,USA_MOM,CONS_DISC,False
2025-02,USA_MOM,CONS_DISC,False
2025-03,EUR_VAL,CONS_DISC,False
2025-04,EUR_MOM,CONS_STAP,False
2025-05,EUR_MOM,CONS_DISC,False
2025-06,EUR_MOM,CONS_DISC,False
2025-07,EUR_MOM,INFOTECH,False
2025-08,EUR_VAL,INFOTECH,False
2025-09,EUR_VAL,INDUST,False
2025-10,USA_VAL,INFOTECH,False
2025-11,USA_VAL,INFOTECH,False
2025-12,USA_VAL,INFOTECH,False
2026-01,USA_VAL,INFOTECH,False
2026-02,USA_VAL,ENERGY,False
2026-03,USA_VAL,ENERGY,False
2026-04,USA_VAL,ENERGY,False
2026-05,USA_VAL,ENERGY,False
2026-06,USA_VAL,ENERGY,False
